timestamp,table_a,table_b
3/22/2019 11:49:28,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:31,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:49:34,Table A is shallower than Table B,Table B is deeper than Table A
3/22/2019 11:49:46,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:49:49,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:54,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:49:57,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:49:58,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:50:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:03,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:12,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:14,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:29,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:31,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:50:38,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:50:42,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:50:52,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:53,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:50:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:03,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:09,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:15,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:51:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:19,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:32,"horizontal, or column-wise",vertical
3/22/2019 11:51:32,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:33,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:51:34,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:51:43,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:51:45,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:51:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:51:59,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:07,Table A is shorter than Table B,Table B is narrower than Table A
3/22/2019 11:52:15,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:21,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 11:52:22,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:23,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:52:26,Table A is shorter than Table B,Table B is taller than Table A
